name,website,term,count,time,term_snippets
fredmeyer,https://www.fredmeyerjewelers.com/,NaN,NaN,2020-09-03T19:39:49,NaN
fredmeyer,https://www.fredmeyerjewelers.com/,covid,1,2020-09-03T19:39:49, --sep-- --sep-- --sep--covid-19: we are available to serve you at all store locations and online. --sep--view helpful 
fredmeyer,https://www.fredmeyerjewelers.com/,covid-19,1,2020-09-03T19:39:49, --sep-- --sep-- --sep--covid-19: we are available to serve you at all store locations and online. --sep--view helpful faqs--sep-- 
fredmeyer,https://www.fredmeyerjewelers.com/,customer,1,2020-09-03T19:39:49,
fredmeyer,https://www.fredmeyerjewelers.com/,NaN,NaN,2020-09-09T17:40:56,NaN
fredmeyer,https://www.fredmeyerjewelers.com/,covid,1,2020-09-09T17:40:56, --sep-- --sep-- --sep--covid-19: we are available to serve you at all store locations and online. --sep--view helpful 
fredmeyer,https://www.fredmeyerjewelers.com/,covid-19,1,2020-09-09T17:40:56, --sep-- --sep-- --sep--covid-19: we are available to serve you at all store locations and online. --sep--view helpful faqs--sep-- 
fredmeyer,https://www.fredmeyerjewelers.com/,customer,1,2020-09-09T17:40:56,
kroger,https://www.kroger.com/d/flu,NaN,NaN,2020-09-01T18:17:22,NaN
kroger,https://www.kroger.com/d/flu,vaccine,17,2020-09-01T18:17:22," safety is our priority--sep-- it's more important than ever to make sure you're up to date on your vaccines. easily schedule your appointment online. --sep--to make a vaccine appointment at the little 
 illness and, at times, can even lead to death. the best way to prevent the flu is by getting a flu vaccine each year.--sep--why is getting a flu vaccine important?--sep--older people, young children and 
 symptoms and risk for complications. this flu season, it is more important than ever to get a flu vaccine. the flu vaccine will not protect against covid-19, but it will reduce the risk of flu illness, 
 thereby helping conserve potentially scarce healthcare resources.--sep--who should get the flu vaccine?--sep--people age 6 months and older are eligible to receive an annual seasonal flu vaccine, with 
 include those with allergies. talk to your licensed healthcare provider to learn which type of flu vaccine is right for you.--sep--how often should i get the flu vaccine?--sep--getting the seasonal flu 
 it to others. september and october are ideal months to get your flu shot.--sep--what types of flu vaccines are available?--sep--the cdc recommends injectable influenza vaccines. there is no preference for 
 flu vaccine over another as long as the vaccine is licensed and age appropriate.--sep--can i get the flu from a flu shot?--sep--no. the flu shot 
 inactivated virus, so you cannot get the flu from the vaccine.--sep--explore other vaccines--sep-- --sep-- --sep-- --sep-- --sep-- --sep-- --sep-- --sep-- --sep-- --sep--keep on exploring "
