name,website,term,count,time,term_snippets
fredmeyer,https://www.fredmeyerjewelers.com/,NaN,NaN,2020-09-04T19:26:17,NaN
fredmeyer,https://www.fredmeyerjewelers.com/,covid,1,2020-09-04T19:26:17, --sep-- --sep-- --sep--covid-19: we are available to serve you at all store locations and online. --sep--view helpful 
fredmeyer,https://www.fredmeyerjewelers.com/,covid-19,1,2020-09-04T19:26:17, --sep-- --sep-- --sep--covid-19: we are available to serve you at all store locations and online. --sep--view helpful faqs--sep-- 
fredmeyer,https://www.fredmeyerjewelers.com/,customer,1,2020-09-04T19:26:17,
fredmeyer,https://www.fredmeyer.com/d/flu,NaN,NaN,2020-09-07T21:34:10,NaN
fredmeyer,https://www.fredmeyer.com/d/flu,vaccine,17,2020-09-07T21:34:10," safety is our priority--sep-- it's more important than ever to make sure you're up to date on your vaccines. easily schedule your appointment online. --sep--to make a vaccine appointment at the little 
 illness and, at times, can even lead to death. the best way to prevent the flu is by getting a flu vaccine each year.--sep--why is getting a flu vaccine important?--sep--older people, young children and 
 symptoms and risk for complications. this flu season, it is more important than ever to get a flu vaccine. the flu vaccine will not protect against covid-19, but it will reduce the risk of flu illness, 
 thereby helping conserve potentially scarce healthcare resources.--sep--who should get the flu vaccine?--sep--people age 6 months and older are eligible to receive an annual seasonal flu vaccine, with 
 include those with allergies. talk to your licensed healthcare provider to learn which type of flu vaccine is right for you.--sep--how often should i get the flu vaccine?--sep--getting the seasonal flu 
 it to others. september and october are ideal months to get your flu shot.--sep--what types of flu vaccines are available?--sep--the cdc recommends injectable influenza vaccines. there is no preference for 
 flu vaccine over another as long as the vaccine is licensed and age appropriate.--sep--can i get the flu from a flu shot?--sep--no. the flu shot 
 inactivated virus, so you cannot get the flu from the vaccine.--sep--explore other vaccines--sep-- --sep-- --sep-- --sep-- --sep-- --sep-- --sep-- --sep-- --sep-- --sep--keep on exploring "
fredmeyer,https://www.fredmeyer.com/d/flu,guidance,1,2020-09-07T21:34:10," see pharmacy for details. --sep--the following frequently asked questions were created following guidance from the centers for disease control and prevention (cdc).--sep--what is the flu?--sep--influenza, "
fredmeyer,https://www.fredmeyer.com/d/flu,health,7,2020-09-07T21:34:10," and patio--sep--home--sep--electronics--sep--toys & games--sep--cleaning and household--sep--health and wellness--sep--vitamins and supplements--sep--personal 
 meyer jewelers--sep--savings--sep--planning--sep--our brands--sep--discover--sep--pharmacy and health--sep--payments & services--sep--search--sep--clear--sep--ship to--sep-- --sep--95050--sep-- 
 the wide range of vaccinations we offer, conveniently available at a pharmacy near you.--sep--your health & safety is our priority--sep-- it's more important than ever to make sure you're up to date on 
 is getting a flu vaccine important?--sep--older people, young children and people with certain health conditions are at higher risk for serious flu complications. if you do get the flu, being 
 the risk of flu illness, hospitalization and death, thereby helping conserve potentially scarce healthcare resources.--sep--who should get the flu vaccine?--sep--people age 6 months and older are 
 seasonal flu vaccine, with rare exceptions that include those with allergies. talk to your licensed healthcare provider to learn which type of flu vaccine is right for you.--sep--how often should i get the 
 --sep-- --sep-- --sep-- --sep-- --sep-- --sep-- --sep-- --sep-- --sep--keep on exploring health & wellness--sep-- --sep--company information--sep--about--sep--advertise with "
fredmeyer,https://www.fredmeyer.com/d/flu,safety,1,2020-09-07T21:34:10," range of vaccinations we offer, conveniently available at a pharmacy near you.--sep--your health & safety is our priority--sep-- it's more important than ever to make sure you're up to date on your "
fredmeyer,https://www.fredmeyer.com/d/flu,covid,1,2020-09-07T21:34:10," it is more important than ever to get a flu vaccine. the flu vaccine will not protect against covid-19, but it will reduce the risk of flu illness, hospitalization and death, thereby helping conserve "
fredmeyer,https://www.fredmeyer.com/d/flu,covid-19,1,2020-09-07T21:34:10," it is more important than ever to get a flu vaccine. the flu vaccine will not protect against covid-19, but it will reduce the risk of flu illness, hospitalization and death, thereby helping conserve "
fredmeyer,https://www.fredmeyer.com/d/flu,higher risk,1,2020-09-07T21:34:10," important?--sep--older people, young children and people with certain health conditions are at higher risk for serious flu complications. if you do get the flu, being vaccinated may help reduce the severity "
fredmeyer,https://www.fredmeyer.com/d/flu,cdc,2,2020-09-07T21:34:10," questions were created following guidance from the centers for disease control and prevention (cdc).--sep--what is the flu?--sep--influenza, better known simply as the flu, is a contagious 
 are ideal months to get your flu shot.--sep--what types of flu vaccines are available?--sep--the cdc recommends injectable influenza vaccines. there is no preference for one flu vaccine over another "
fredmeyer,https://www.fredmeyer.com/d/flu,centers for disease control,1,2020-09-07T21:34:10," details. --sep--the following frequently asked questions were created following guidance from the centers for disease control and prevention (cdc).--sep--what is the flu?--sep--influenza, better known simply as the flu, is a "
fredmeyer,https://www.fredmeyer.com/d/flu,following guidance,1,2020-09-07T21:34:10," may apply. see pharmacy for details. --sep--the following frequently asked questions were created following guidance from the centers for disease control and prevention (cdc).--sep--what is the flu?--sep--influenza, "
fredmeyer,https://www.fredmeyer.com/d/flu,sick,1,2020-09-07T21:34:10," you know getting the right vaccinations can help minimize the chances of getting sick? if you do get the flu, being vaccinated may help reduce the severity of symptoms and risk for "
fredmeyer,https://www.fredmeyer.com/d/flu,virus,2,2020-09-07T21:34:10," flu?--sep--influenza, better known simply as the flu, is a contagious respiratory illness caused by viruses that infect the nose, throat and sometimes the lungs. it can cause mild to severe illness and, at 
 appropriate.--sep--can i get the flu from a flu shot?--sep--no. the flu shot contains inactivated virus, so you cannot get the flu from the vaccine.--sep--explore other vaccines--sep-- --sep-- --sep-- "
fredmeyer,https://www.fredmeyer.com/d/flu,return policy,1,2020-09-07T21:34:10, services--sep--contact us--sep--customer comments--sep--recall alerts--sep--coupon policy--sep--return policy--sep--store hours--sep--feedback--sep--services--sep--deli/bakery ordering--sep--digital 
fredmeyer,https://www.fredmeyer.com/d/flu,symptoms,2,2020-09-07T21:34:10," chances of getting sick? if you do get the flu, being vaccinated may help reduce the severity of symptoms and risk for complications.--sep--plus, check out the wide range of vaccinations we offer, 
 serious flu complications. if you do get the flu, being vaccinated may help reduce the severity of symptoms and risk for complications. this flu season, it is more important than ever to get a flu vaccine. "
fredmeyer,https://www.fredmeyer.com/d/flu,delivery ,1,2020-09-07T21:34:10,
fredmeyer,https://www.fredmeyer.com/d/flu,priority,1,2020-09-07T21:34:10," we offer, conveniently available at a pharmacy near you.--sep--your health & safety is our priority--sep-- it's more important than ever to make sure you're up to date on your vaccines. easily "
fredmeyer,https://www.fredmeyer.com/d/flu,high,1,2020-09-07T21:34:10," important?--sep--older people, young children and people with certain health conditions are at higher risk for serious flu complications. if you do get the flu, being vaccinated may help reduce the "
fredmeyer,https://www.fredmeyer.com/d/flu,flu vaccine,11,2020-09-07T21:34:10," illness and, at times, can even lead to death. the best way to prevent the flu is by getting a flu vaccine each year.--sep--why is getting a flu vaccine important?--sep--older people, young children and 
 of symptoms and risk for complications. this flu season, it is more important than ever to get a flu vaccine. the flu vaccine will not protect against covid-19, but it will reduce the risk of flu illness, 
 death, thereby helping conserve potentially scarce healthcare resources.--sep--who should get the flu vaccine?--sep--people age 6 months and older are eligible to receive an annual seasonal flu vaccine, with 
 that include those with allergies. talk to your licensed healthcare provider to learn which type of flu vaccine is right for you.--sep--how often should i get the flu vaccine?--sep--getting the seasonal flu 
 it to others. september and october are ideal months to get your flu shot.--sep--what types of flu vaccines are available?--sep--the cdc recommends injectable influenza vaccines. there is no preference for 
 flu vaccine over another as long as the vaccine is licensed and age appropriate.--sep--can i get the flu from a "
fredmeyer,https://www.fredmeyer.com/d/flu,vaccination,3,2020-09-07T21:34:10," to--sep-- --sep--95050--sep-- --sep--sign in--sep--cart--sep--did you know getting the right vaccinations can help minimize the chances of getting sick? if you do get the flu, being vaccinated may help 
 the severity of symptoms and risk for complications.--sep--plus, check out the wide range of vaccinations we offer, conveniently available at a pharmacy near you.--sep--your health & safety is our "
fredmeyer,https://www.fredmeyer.com/d/flu,prevention,1,2020-09-07T21:34:10," frequently asked questions were created following guidance from the centers for disease control and prevention (cdc).--sep--what is the flu?--sep--influenza, better known simply as the flu, is a contagious "
fredmeyer,https://www.fredmeyer.com/d/flu,symptoms,2,2020-09-07T21:34:10," chances of getting sick? if you do get the flu, being vaccinated may help reduce the severity of symptoms and risk for complications.--sep--plus, check out the wide range of vaccinations we offer, 
 serious flu complications. if you do get the flu, being vaccinated may help reduce the severity of symptoms and risk for complications. this flu season, it is more important than ever to get a flu vaccine. "
fredmeyer,https://www.fredmeyer.com/d/flu,customer,2,2020-09-07T21:34:10, community rewards--sep--honoring our heroes--sep--sustainability--sep--request a donation--sep--customer service--sep--help--sep--faqs--sep--furniture delivery--sep--package services--sep--contact 
kroger,https://www.kroger.com/hc/help/faqs,NaN,NaN,2020-09-03T19:24:47,NaN
kroger,https://www.kroger.com/hc/help/faqs,health,2,2020-09-03T19:24:47," and electronics--sep--cleaning and household--sep--health and wellness--sep--vitamins and supplements--sep--personal 
 meyer jewelers--sep--savings--sep--planning--sep--our brands--sep--discover--sep--pharmacy and health--sep--payments and services--sep--search--sep--clear--sep--ship to--sep-- --sep--95050--sep-- "
kroger,https://www.kroger.com/hc/help/faqs,mask,1,2020-09-03T19:24:47," cards--sep--sign in--sep--popular--sep--digital coupons--sep--weekly ad--sep--labor day--sep--face masks, sanitizers & more--sep--my prescriptions--sep--departments--sep--school essentials--sep--summer "
kroger,https://www.kroger.com/hc/help/faqs,covid,1,2020-09-03T19:24:47, in--sep--cart--sep--breadcrumb--sep--help center--sep--faqs--sep--frequently asked questions--sep--covid-19--sep--general--sep--general--sep--general--sep--community rewards--sep--general--sep--ways to 
kroger,https://www.kroger.com/hc/help/faqs,covid-19,1,2020-09-03T19:24:47, in--sep--cart--sep--breadcrumb--sep--help center--sep--faqs--sep--frequently asked questions--sep--covid-19--sep--general--sep--general--sep--general--sep--community rewards--sep--general--sep--ways to 
kroger,https://www.kroger.com/hc/help/faqs,sanitize,1,2020-09-03T19:24:47," in--sep--popular--sep--digital coupons--sep--weekly ad--sep--labor day--sep--face masks, sanitizers & more--sep--my prescriptions--sep--departments--sep--school essentials--sep--summer "
kroger,https://www.kroger.com/hc/help/faqs,sanitizer,1,2020-09-03T19:24:47," in--sep--popular--sep--digital coupons--sep--weekly ad--sep--labor day--sep--face masks, sanitizers & more--sep--my prescriptions--sep--departments--sep--school essentials--sep--summer "
kroger,https://www.kroger.com/hc/help/faqs,delivery ,1,2020-09-03T19:24:47,
kroger,https://www.kroger.com/hc/help/faqs,masks,1,2020-09-03T19:24:47," cards--sep--sign in--sep--popular--sep--digital coupons--sep--weekly ad--sep--labor day--sep--face masks, sanitizers & more--sep--my prescriptions--sep--departments--sep--school essentials--sep--summer "
